"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"110","Aspa","hurdle",1.11457527422403e-96,-2.853503,-1.436364,1.417139,0.588
"795","Vwa1","hurdle",2.44568099581355e-135,-3.137096,-1.597266,1.53983,0.587
"787","Ush1c","hurdle",4.53360980471893e-29,-0.7613425,-0.1831749,0.5781676,0.587
"571","Prss30","hurdle",6.7008072386118e-119,-3.015862,-1.589721,1.426141,0.587
"656","Slc31a1","hurdle",5.25358323662151e-33,-0.5469203,0.05205659,0.59897689,0.586
"436","Mcu","hurdle",3.10352385741988e-34,-1.3334237,-0.6151553,0.7182684,0.586
"296","Flnb","hurdle",6.83974175052675e-37,-1.5040703,-0.7286551,0.7754152,0.586
"209","Cyp2d22","hurdle",4.65171095452727e-137,-3.161932,-1.663048,1.498884,0.586
"779","Ube4b","hurdle",1.16691991802175e-33,-1.1066412,-0.4286029,0.6780383,0.585
"594","Rhod","hurdle",1.07744404210573e-108,-2.970284,-1.338273,1.632011,0.585
"526","Pdlim2","hurdle",1.13297778747008e-74,-2.628355,-1.3101,1.318255,0.584
"509","Ormdl3","hurdle",1.49003614724072e-50,-2.03868,-1.070714,0.967966,0.584
"537","Phlpp2","hurdle",1.23975356739907e-71,-2.666617,-1.49506,1.171557,0.583
"527","Pdzd3","hurdle",1.254311403077e-68,-2.629929,-1.463688,1.166241,0.583
"510","Osgin1","hurdle",1.76596839635518e-108,-3.042868,-1.627849,1.415019,0.583
"383","Il17rc","hurdle",8.59850388000915e-30,-1.255118,-0.609422,0.645696,0.583
"168","Cidec","hurdle",1.77689266936406e-103,-2.960348,-1.376713,1.583635,0.583
"531","Pfkfb4","hurdle",8.63955295163696e-62,-2.505514,-1.363785,1.141729,0.582
"413","Lipa","hurdle",8.98840161325972e-93,-2.922239,-1.571028,1.351211,0.582
"185","Coro1c","hurdle",2.30814668439243e-24,-0.7270342,-0.2220174,0.5050168,0.582
