"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"757","Uqcrc1","hurdle",8.17928385775762e-73,2.090598,2.723317,0.632719,0.697
"238","Dpep1","hurdle",4.00060177101693e-174,-1.4140862,0.1594782,1.5735644,0.697
"92","Apob","hurdle",5.98294755028337e-97,-0.1736584,0.6651328,0.8387912,0.697
"39","Aco2","hurdle",1.83507908501895e-88,0.5275925,1.4070525,0.87946,0.697
"16","AA467197","hurdle",2.93927792388347e-121,-1.0952702,0.4042237,1.4994939,0.697
"548","Pnp2","hurdle",2.34142247926115e-101,-1.0707659,0.1844246,1.2551905,0.696
"710","Tma7","hurdle",8.65935814968627e-76,1.407375,2.059193,0.651818,0.695
"558","Prdx1","hurdle",2.13510052202258e-66,2.986298,3.73645,0.750152,0.695
"530","Pitpna","hurdle",7.84405091005491e-87,0.3502366,1.2441754,0.8939388,0.693
"587","Rrbp1","hurdle",4.08556817450714e-82,0.7999809,1.6304539,0.830473,0.692
"64","Akr1c13","hurdle",1.70539021556579e-112,-0.184805,0.9820898,1.1668948,0.692
"702","Tcn2","hurdle",1.22040827929848e-89,-0.8108107,0.3552653,1.166076,0.69
"499","Ogdh","hurdle",4.21216084560387e-81,-0.007971325,0.94753258,0.955503905,0.69
"476","Ndufa11","hurdle",1.15199005530412e-68,1.688937,2.309131,0.620194,0.689
"665","Slc7a7","hurdle",9.98085586977477e-98,-1.0340165,0.2969817,1.3309982,0.688
"533","Pla2g12b","hurdle",6.30574661765459e-108,-1.46040408,0.005609968,1.466014048,0.688
"288","Fmo5","hurdle",1.64817568549686e-128,-1.705642,-0.1048989,1.6007431,0.688
"152","Cds1","hurdle",3.25190384583707e-92,-0.6975171,0.4624943,1.1600114,0.688
"48","Acy1","hurdle",1.35780504046812e-119,-1.7471742,-0.1540864,1.5930878,0.688
"162","Cgref1","hurdle",1.52765577700517e-89,-0.5524032,0.4921029,1.0445061,0.687
"448","mt-Nd1","hurdle",1.82305205632481e-66,3.934689,4.477711,0.543022,0.686
"726","Tmem86a","hurdle",1.96167001008286e-115,-1.63973973,-0.06123763,1.5785021,0.685
"443","Mpp1","hurdle",1.39245540286273e-117,-1.6676158,-0.1561727,1.5114431,0.685
"633","Slc27a4","hurdle",5.26498138627028e-122,-0.8791034,0.1877184,1.0668218,0.684
"43","Acox1","hurdle",7.12743943524639e-88,-0.8786508,0.3420227,1.2206735,0.684
"371","Igsf9","hurdle",1.32860711390571e-131,-2.0176303,-0.2488646,1.7687657,0.683
"656","Slc51b","hurdle",2.95284384981004e-147,-1.9461831,-0.1857026,1.7604805,0.682
"490","Npc1l1","hurdle",6.82703261611668e-129,-1.6233449,-0.1540864,1.4692585,0.682
"581","Rfk","hurdle",9.13842147539105e-72,-0.1408619,0.7721324,0.9129943,0.681
"251","Emc9","hurdle",1.86777320304358e-118,-1.8926559,-0.2849339,1.607722,0.681
"373","Il17rc","hurdle",1.78558533150594e-109,-1.31922343,0.07128126,1.39050469,0.68
"173","Ckb","hurdle",1.60027664161777e-69,1.195532,2.006076,0.810544,0.68
"691","Stap2","hurdle",1.58948678015228e-98,-1.43256815,-0.05928408,1.37328407,0.679
"541","Plin3","hurdle",1.20266317176729e-74,-0.2743902,0.6839151,0.9583053,0.679
"773","Yif1a","hurdle",3.86165715680209e-79,-0.1598452,0.7960691,0.9559143,0.678
"344","H2-Q2","hurdle",5.3244076378039e-72,-0.4876484,0.5237249,1.0113733,0.676
"600","Sdcbp2","hurdle",3.32884740764172e-96,-1.5322604,-0.1985457,1.3337147,0.675
"276","Fam234a","hurdle",1.46061503136953e-84,-1.12528927,0.07839691,1.20368618,0.675
"254","Eno1","hurdle",5.10289227114438e-76,0.2506348,1.113458,0.8628232,0.675
"649","Slc3a2","hurdle",2.75101832859027e-77,-0.5353603,0.5145732,1.0499335,0.674
"107","Atp6v0a2","hurdle",5.16059513536348e-98,-1.44223303,-0.08290308,1.35932995,0.674
"704","Tfg","hurdle",2.76740676365125e-74,-0.005498712,0.897114673,0.902613385,0.673
"672","Smdt1","hurdle",4.4002573722547e-55,2.07678,2.602036,0.525256,0.673
"550","Ppa1","hurdle",3.5101472481723e-59,1.571048,2.161574,0.590526,0.673
"180","Cmbl","hurdle",2.39530912339072e-70,-0.4053243,0.5824622,0.9877865,0.673
"234","Dmbt1","hurdle",1.48185592658136e-63,1.669804,2.576192,0.906388,0.672
"135","Casp7","hurdle",3.70851769493182e-75,-0.6897552,0.3508646,1.0406198,0.671
"30","Abhd17a","hurdle",4.37569758679451e-75,0.1338071,1.0186157,0.8848086,0.671
"17","Aadac","hurdle",6.98294406842383e-88,-0.3962266,0.7433219,1.1395485,0.669
"171","Cisd1","hurdle",3.70352677952075e-60,0.7932509,1.4597722,0.6665213,0.668
"128","Calml4","hurdle",1.83613292835411e-53,1.89686,2.435386,0.538526,0.668
"754","Upp1","hurdle",6.92331684799747e-102,-1.8432499,-0.3266198,1.5166301,0.667
"652","Slc43a2","hurdle",3.8903539860571e-118,-1.5276408,-0.1603545,1.3672863,0.667
"523","Pgd","hurdle",1.18154452264202e-68,-0.1717166,0.7320859,0.9038025,0.667
"494","Nr1i3","hurdle",1.05297484765781e-126,-2.3166464,-0.5887146,1.7279318,0.667
"427","Mgat4a","hurdle",6.60761886659966e-78,-0.6733739,0.4141004,1.0874743,0.667
"25","Abcd3","hurdle",6.07524634335389e-74,-0.7304176,0.3390633,1.0694809,0.667
"168","Chpt1","hurdle",5.1395235459177e-77,-0.4094044,0.6085021,1.0179065,0.666
"395","Lgals2","hurdle",3.39947311243144e-40,4.610114,5.144671,0.534557,0.665
"697","Surf4","hurdle",6.58073824805448e-59,0.2648381,1.0296709,0.7648328,0.664
"418","Mdh1","hurdle",1.55937620149721e-53,1.694878,2.29431,0.599432,0.663
"366","Ifi27l2b","hurdle",3.8668309073179e-49,2.860091,3.369657,0.509566,0.663
"305","Ggt1","hurdle",8.85135811545333e-152,-0.9774368,0.1443007,1.1217375,0.663
"213","Cyp2d26","hurdle",7.66248549056299e-111,-1.29395987,-0.06319383,1.23076604,0.663
"479","Ndufb6","hurdle",1.40614030969638e-52,1.453171,2.029212,0.576041,0.662
"471","Nat8","hurdle",1.09683870707667e-130,-2.1402922,-0.4313677,1.7089245,0.662
"435","Mkrn1","hurdle",5.05096491733873e-59,0.2215906,0.9792414,0.7576508,0.662
"751","Ugt2b34","hurdle",7.55852916232932e-80,-1.176937686,-0.009398698,1.167538988,0.661
"263","Esrra","hurdle",1.67223407907914e-63,-0.4200669,0.4827477,0.9028146,0.661
"41","Acot13","hurdle",2.0365127814572e-63,0.2187383,0.9981252,0.7793869,0.661
"758","Uqcrfs1","hurdle",1.72032865411083e-50,1.855769,2.380672,0.524903,0.66
"516","Pcyt2","hurdle",8.46031145661935e-66,-0.7039171,0.2847295,0.9886466,0.66
"379","Itpk1","hurdle",2.92037116070865e-68,-1.01499187,0.07128126,1.08627313,0.659
"209","Cycs","hurdle",2.54423341044891e-52,1.004877,1.607887,0.60301,0.659
"365","Idh1","hurdle",3.79604518498782e-85,-1.6644917,-0.2803756,1.3841161,0.656
"73","Aldh9a1","hurdle",5.16050686272279e-57,-0.2439062,0.5824622,0.8263684,0.656
"750","Ugt2a3","hurdle",2.92141970134637e-118,-2.3927974,-0.6432708,1.7495266,0.655
"749","Ugdh","hurdle",1.55841299434387e-82,-1.5577548,-0.2202082,1.3375466,0.655
"457","Mylk","hurdle",1.23192849448369e-93,-1.9797647,-0.4880523,1.4917124,0.655
"718","Tmem205","hurdle",6.39903705539721e-62,-0.01144012,0.8301921,0.84163222,0.654
