"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Tuft","log2fold_change","Auc"
"445","Hist1h2bc","hurdle",3.72816056651707e-16,0.9786018,1.8411302,0.8625284,0.645
"204","Chdh","hurdle",4.86861379165605e-29,-1.529443,-0.2092992,1.3201438,0.645
"69","Ano7","hurdle",6.96095038015531e-56,-2.936914,-0.911522,2.025392,0.645
"958","Tax1bp1","hurdle",2.96559015071757e-19,0.3330875,1.1251198,0.7920323,0.644
"831","Sdf4","hurdle",7.94205724536097e-24,0.1542019,0.9826329,0.828431,0.644
"405","Gng5","hurdle",4.84590574560977e-15,1.267978,1.802768,0.53479,0.644
"103","Atp6ap1","hurdle",2.15623357073798e-23,-1.4533548,-0.3203876,1.1329672,0.644
"1092","Zfp428","hurdle",5.61179074607276e-34,-2.0333311,-0.4575832,1.5757479,0.643
"345","Fbxo25","hurdle",7.82124643295204e-38,-2.0694247,-0.4660747,1.60335,0.643
"700","Pla2g4a","hurdle",5.79740065520214e-36,-2.053706,-0.483209,1.570497,0.642
"352","Fes","hurdle",6.27921924726926e-82,-3.2208243,-0.9586731,2.2621512,0.642
"249","Cst6","hurdle",1.15536260075503e-39,-1.048828,1.076249,2.125077,0.642
"895","Smtn","hurdle",2.39067822062222e-45,-2.736966,-0.934905,1.802061,0.641
"794","Rhog","hurdle",7.38413242857116e-55,-1.8631385,-0.2823997,1.5807388,0.641
"274","Ddt","hurdle",9.26879134421222e-19,0.151132,0.8758137,0.7246817,0.641
"427","H2-K1","hurdle",1.61476109705796e-19,2.353379,3.096429,0.74305,0.64
"732","Ppt1","hurdle",1.28277242589193e-28,-1.21343775,-0.03494588,1.17849187,0.639
"692","Pim3","hurdle",6.69702666836124e-25,-1.255522797,-0.003703969,1.251818828,0.639
"494","Inpp5b","hurdle",1.04548021399873e-29,-1.9619099,-0.5448344,1.4170755,0.639
"300","Eef2k","hurdle",1.25486995380517e-26,-1.9532258,-0.6186456,1.3345802,0.639
"156","Cables2","hurdle",4.28504071910444e-35,-2.0075509,-0.5629362,1.4446147,0.639
"121","B4galt5","hurdle",1.30512296634481e-26,-1.976655,-0.590522,1.386133,0.639
"1060","Uqcc2","hurdle",2.25212806285585e-13,0.9930404,1.5837289,0.5906885,0.638
"578","March2","hurdle",6.16002379178951e-23,-1.08906705,-0.04763457,1.04143248,0.638
"349","Fcnaos","hurdle",7.5876635450419e-100,-3.2951136,-0.6964378,2.5986758,0.638
"8","1810037I17Rik","hurdle",4.29229360042507e-13,1.15198,1.665688,0.513708,0.637
"1069","Vps53","hurdle",4.61114384962983e-37,-1.618414,-0.223626,1.394788,0.636
"1049","Ube2j1","hurdle",4.98760049989571e-34,-1.4450006,-0.07985331,1.36514729,0.636
"896","Snapc5","hurdle",5.54567035012434e-19,-0.4953692,0.3603763,0.8557455,0.636
"627","Ndufv3","hurdle",3.96148872759647e-13,1.646884,2.147,0.500116,0.636
"423","Gucy2c","hurdle",7.4390499361948e-16,-0.4195948,0.3747126,0.7943074,0.636
"940","Stx7","hurdle",5.11114664728143e-31,-0.9789725,0.1707468,1.1497193,0.635
"897","Snf8","hurdle",7.66407634278222e-13,0.3428628,0.9253503,0.5824875,0.635
"816","Runx1","hurdle",1.63361216766079e-31,-2.369175,-0.8658633,1.5033117,0.635
"1048","Ubc","hurdle",3.66776752180935e-14,0.7888117,1.4524648,0.6636531,0.634
"1020","Trim38","hurdle",6.57295229926732e-76,-3.160659,-0.60921,2.551449,0.634
"656","Oasl2","hurdle",5.14441988146791e-29,-1.38138575,-0.07335174,1.30803401,0.634
"997","Tmem59","hurdle",6.60923372876775e-16,1.284352,1.937634,0.653282,0.633
"922","Srp19","hurdle",3.0722177243022e-16,-0.2619992,0.5064119,0.7684111,0.633
"617","Myo6","hurdle",1.51101939489587e-33,-0.5485926,0.5407225,1.0893151,0.633
"292","Dram2","hurdle",2.37094834073187e-19,-0.96673151,-0.02864314,0.93808837,0.633
"110","Atp6v1g1","hurdle",7.62143314482598e-15,0.825198,1.385608,0.56041,0.633
"884","Slco4a1","hurdle",1.53387980779326e-54,-2.955963,-1.032421,1.923542,0.632
"196","Cdkn1c","hurdle",2.72608248722435e-52,-2.72213657,0.00246404,2.72460061,0.632
"1030","Tspan13","hurdle",1.35407748147649e-21,-0.1121567,0.8279927,0.9401494,0.631
"384","Glmp","hurdle",5.74797873457528e-21,-0.727777,0.2558235,0.9836005,0.631
"371","Gclm","hurdle",7.30132028345543e-21,-0.1626329,0.7235866,0.8862195,0.631
"758","R3hdm4","hurdle",1.99971143293665e-13,-0.5556667,0.1597506,0.7154173,0.63
"431","H2-T23","hurdle",1.08917223659032e-15,-0.5497979,0.3361613,0.8859592,0.63
"117","B2m","hurdle",3.01325797265515e-11,3.905847,4.476537,0.57069,0.63
"108","Atp6v1e1","hurdle",1.09187268645597e-22,-0.2873378,0.5700892,0.857427,0.63
"903","Sod2","hurdle",3.70595834233774e-12,0.6779984,1.2313484,0.55335,0.629
"893","Smpdl3a","hurdle",5.57805555040093e-33,-1.0858163,0.1924909,1.2783072,0.629
"675","Pde2a","hurdle",4.8574902091086e-68,-3.202293,-1.206451,1.995842,0.629
"498","Isg15","hurdle",1.07323877092437e-25,-0.1787925,1.3832464,1.5620389,0.629
"409","Gpa33","hurdle",1.75588256474337e-19,0.4275449,1.1558821,0.7283372,0.629
"20","4930539E08Rik","hurdle",2.50082191268699e-45,-2.7479906,-0.7369656,2.011025,0.629
"1080","Yipf1","hurdle",3.29952055554396e-23,-0.6487185,0.2609778,0.9096963,0.628
"984","Tmem160","hurdle",2.77514692831796e-12,0.5121588,1.0733222,0.5611634,0.628
"905","Sox9","hurdle",8.82265742594904e-12,0.2227622,0.8589161,0.6361539,0.628
"808","Rpp21","hurdle",9.68429276956956e-13,0.447961,1.037728,0.589767,0.628
